Ativo,Sinal,Preco,Prob_Alta,Prob_Baixa,Confianca_IA,Acerto,Operacoes,Retorno
DAR,AGUARDAR,58.84,5.5,94.5,94.5,100.0,1,5.33
NVDA,VENDA,178.68,16.0,84.0,84.0,60.0,10,6.73
NFLX,AGUARDAR,92.28,2.5,97.5,97.5,60.0,5,7.49
PAGS,AGUARDAR,10.23,19.5,80.5,80.5,50.0,10,12.38
MU,AGUARDAR,382.09,8.5,91.5,91.5,46.15,13,-2.82
SLV,VENDA,65.21,13.5,86.5,86.5,50.0,10,11.95
QQQ,VENDA,587.82,6.0,94.0,94.0,64.29,14,8.63
VTI,VENDA,325.15,15.5,84.5,84.5,87.5,8,6.09
MSFT,AGUARDAR,371.04,6.0,94.0,94.0,40.0,5,-3.01
ARGT,AGUARDAR,89.14,16.5,83.5,83.5,66.67,9,2.85
AZEV4.SA,AGUARDAR,0.18,17.5,82.5,82.5,45.45,11,-6.51
NVDC34.SA,VENDA,19.49,10.0,90.0,90.0,66.67,12,-0.02
PRIO3.SA,AGUARDAR,67.28,14.5,85.5,85.5,100.0,6,33.23
PETR4.SA,AGUARDAR,47.5,13.0,87.0,87.0,100.0,2,4.59
PETR3.SA,AGUARDAR,52.24,19.5,80.5,80.5,100.0,2,4.63
BPAC11.SA,VENDA,56.68,16.5,83.5,83.5,43.75,16,6.66
